exp_id,K,lr,weight_decay,dropout,threshold,train_loss,val_loss,Q_overlap,status
1,8,0.001,0.001,0.2,600,0.10784095525741577,0.09444522857666016,0.10350777157804657,success
2,10,0.001,0.001,0.2,600,0.10154034942388535,0.08842363208532333,0.0934397244723954,success
3,8,0.0005,0.001,0.2,600,0.10585302114486694,0.09337511658668518,0.10389160964005219,success
4,10,0.0005,0.001,0.2,600,0.09719347953796387,0.08591712266206741,0.09313795879334526,success
5,12,0.001,0.001,0.2,600,0.11086248606443405,0.09144768863916397,0.087539025268267,success
6,8,0.001,0.0005,0.2,600,0.10168256610631943,0.0911821573972702,0.10428717174740458,success
7,10,0.001,0.0005,0.2,600,0.09341427683830261,0.08319798111915588,0.09168248072426374,success
8,8,0.001,0.001,0.1,600,0.10256357491016388,0.09219619631767273,0.10385323954674242,success
