preferredName_A	preferredName_B	score
ABCB1	TP53	0.617
ABCB1	ABL1	0.524
ABCB1	CTNNB1	0.581
ABL1	TP53	0.909
ABL1	CXCR4	0.417
ABL1	CTNNB1	0.949
AGO2	CTNNB1	0.513
AGO2	TP53	0.872
AGO2	EIF4E	0.991
ANKRD11	TP53	0.689
ARID1A	TP53	0.961
ARID1A	CTNNB1	0.684
CTNNB1	TP53	0.927
CTNNB1	IGF1	0.687
CTNNB1	CXCR4	0.621
CTNNB1	EIF4E	0.728
CXCR4	TP53	0.614
CXCR4	IGF1	0.717
EIF4E	TP53	0.575
EIF4E	IGF1	0.518
IGF1	TP53	0.706
